,address,lat,lon
82,210 W SAN BERNARDINO RD COVINA CA,34.088233,-117.8937523
83,9455 CLAIREMONT MESA BLVD SAN DIEGO CA,32.8297116,-117.1251884
84,2669 SCENIC DRIVE ALAMOGORDO NM,32.9264282,-105.9347154
85,6900 NORTH PECOS ROAD NORTH LAS VEGAS NV,36.2851896,-115.0945088
86,650 W TAYLOR ST VANDALIA IL,38.9696987,-89.09866099999999
87,EISENHOWER-FM 2185 VAN HORN TX,31.0496717,-104.8283235
88,774 STATE HWY 70 NORTH ROTAN TX,32.8335505,-100.4362317
89,361 RANDOLPH STREET CUTHBERT GA,31.7754198,-84.79301819999999
90,1604 ROCK PRAIRIE ROAD COLLEGE STATION TX,30.58128219999999,-96.289711
91,179 FAIRVIEW LANE SONORA CA,37.9797241,-120.3908807
92,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406 CHATSWORTH GA",34.7799558,-84.7830378
93,"1649 LUCERNE ST, UNIT A & B MINDEN NV",38.9578113,-119.771873
94,326 WASHINGTON ST NORWICH CT,41.5425414,-72.0888772
95,92 W MILLER ST ORLANDO FL,28.5233918,-81.3800672
96,415 SIXTH ST LEWISTON ID,46.4166818,-117.0244103
97,1501 WEST ELK AVENUE ELIZABETHTON TN,36.3460801,-82.2496719
98,1500 SOUTH SUNSET LITTLEFIELD TX,33.9116949,-102.3443294
99,301 2ND STREET NE NEW PRAGUE MN,44.546252,-93.5744543
